order_date,daily_orders,dayofweek,is_weekend,month,year,lag_15,lag_30,lag_90,lag_180,lag_360,rolling_mean_15,rolling_std_15,rolling_mean_30,rolling_std_30,rolling_mean_90,rolling_std_90,rolling_mean_180,rolling_std_180,rolling_mean_360,rolling_std_360,ewma_15,ewma_30,ewma_90,ewma_180,ewma_360,momentum_15,momentum_30,momentum_90,momentum_180,momentum_360,is_high_short,is_high_long,is_peak_long,volatility_30,trend_15_30,trend_30_90,trend_90_180,trend_180_360
2016-10-03,8,0,0,10,2016,,,,,,8.0,,8.0,,8.0,,8.0,,8.0,,8.0,8.0,8.0,8.0,8.0,,,,,,0,0,0,,1.0,1.0,1.0,1.0
2016-10-04,53,1,0,10,2016,,,,,,30.5,31.81980515339464,30.5,31.81980515339464,30.5,31.81980515339464,30.5,31.81980515339464,30.5,31.81980515339464,13.625,10.903225806451614,8.989010989010989,8.497237569060774,8.249307479224377,,,,,,1,1,0,31.81980515339464,1.0,1.0,1.0,1.0
2016-10-05,35,2,0,10,2016,,,,,,32.0,22.64950330581225,32.0,22.64950330581225,32.0,22.64950330581225,32.0,22.64950330581225,32.0,22.64950330581225,16.296875,12.457856399583768,9.560681077164594,8.79008577271756,8.397510761887956,,,,,,1,1,0,22.64950330581225,1.0,1.0,1.0,1.0
2016-10-06,41,3,0,10,2016,,,,,,34.25,19.03286631067428,34.25,19.03286631067428,34.25,19.03286631067428,34.25,19.03286631067428,34.25,19.03286631067428,19.384765625,14.299285018965461,10.251655119424713,9.14599642716267,8.578133970963368,,,,,,1,1,0,19.03286631067428,1.0,1.0,1.0,1.0
2016-10-07,39,4,0,10,2016,,,,,,35.2,16.619265928433784,35.2,16.619265928433784,35.2,16.619265928433784,35.2,16.619265928433784,35.2,16.619265928433784,21.836669921875,15.892879533870916,10.883486875041752,9.47587491968021,8.746676165030053,,,,,,1,1,0,16.619265928433784,1.0,1.0,1.0,1.0
2016-10-08,36,5,1,10,2016,,,,,,35.333333333333336,14.868310820892422,35.333333333333336,14.868310820892422,35.333333333333336,14.868310820892422,35.333333333333336,14.868310820892422,35.333333333333336,14.868310820892422,23.607086181640625,17.190113112330856,11.435498152513363,9.768959174711368,8.897664108714096,,,,,,1,1,0,14.868310820892422,1.0,1.0,1.0,1.0
2016-10-09,22,6,1,10,2016,,,,,,33.42857142857143,14.478226673838465,33.42857142857143,14.478226673838465,33.42857142857143,14.478226673838465,33.42857142857143,14.478226673838465,33.42857142857143,14.478226673838465,23.406200408935547,17.500428395406285,11.667685006304277,9.904108797090247,8.970253227225376,,,,,,0,0,0,14.478226673838465,1.0,1.0,1.0,1.0
2016-10-10,34,0,0,10,2016,,,,,,33.5,13.40575569351783,33.5,13.40575569351783,33.5,13.40575569351783,33.5,13.40575569351783,33.5,13.40575569351783,24.730425357818604,18.564916886025237,12.158505116055832,10.170361738558864,9.108922184415265,,,,,,1,1,0,13.40575569351783,1.0,1.0,1.0,1.0
2016-12-23,1,4,0,12,2016,,,,,,29.88888888888889,16.571394362307327,29.88888888888889,16.571394362307327,29.88888888888889,16.571394362307327,29.88888888888889,16.571394362307327,29.88888888888889,16.571394362307327,21.764122188091278,17.43169644176555,11.913263245373285,10.069031774596889,9.063997407770305,,,,,,0,0,0,16.571394362307327,1.0,1.0,1.0,1.0
2017-01-05,32,3,0,1,2017,,,,,,30.1,15.637916883154366,30.1,15.637916883154366,30.1,15.637916883154366,30.1,15.637916883154366,30.1,15.637916883154366,23.04360691457987,18.37158699390971,12.354729987233211,10.311362915209077,9.191066674209251,,,,,,1,1,0,15.637916883154366,1.0,1.0,1.0,1.0
